Food,MealType,DietType,Calories,Protein,Fat,Price
Chicken Biryani (Ambur Style),Lunch,Non-Veg,790,54,28,238
Paneer Roll,Fast Food,Veg,560,21,20,153
Veg Noodles,Fast Food,Veg,525,15,17,104
Mutton Seekh Roll,Fast Food,Non-Veg,603,36,21,222
Paniyaram + Chutney,Breakfast,Veg,332,11,10,101
Sundal (Kadala/Peas),Snacks,Veg,180,12,8,46
Paneer Roll,Fast Food,Veg,584,21,16,129
Thengai Paal Dosai,Breakfast,Veg,293,9,10,117
Chicken Noodles,Fast Food,Non-Veg,495,31,23,198
Kara Pongal + Chutney,Breakfast,Veg,365,12,13,61
Dosai + Chicken Curry,Dinner,Non-Veg,495,38,20,185
Chappatti + Dal Fry,Lunch,Veg,398,18,10,70
Keerai Dosai,Breakfast,Veg,290,11,14,56
Egg Fried Rice,Fast Food,Non-Veg,507,32,23,150
Aappam + Veg Stew,Dinner,Veg,331,14,9,132
Masala Dosai,Breakfast,Veg,401,11,18,121
Tomato Rice,Lunch,Veg,447,11,13,109
French Fries,Fast Food,Veg,324,4,16,122
Sambar Rice,Lunch,Veg,358,15,10,104
Idly + Chicken Kurma,Dinner,Non-Veg,555,36,17,130
Rava Dosai,Breakfast,Veg,311,8,16,64
Chicken Biryani,Dinner,Non-Veg,754,54,24,192
Parotta + Mutton Salna,Lunch,Non-Veg,907,55,42,343
Plain Dosai + Chutney,Dinner,Veg,220,10,10,58
Pongal + Sambar + Chutney,Breakfast,Veg,458,9,15,92
Parotta + Kurma,Breakfast,Veg,528,14,26,118
Fish Curry + Rice,Dinner,Non-Veg,677,50,14,140
Kottu Parotta (Chicken),Dinner,Non-Veg,584,52,34,208
Idiyappam + Coconut Milk,Breakfast,Veg,411,6,11,102
Masala Vada Pav,Fast Food,Veg,347,11,17,108
Parotta + Mutton Salna,Lunch,Non-Veg,883,45,28,261
Puttu + Kadala Curry,Breakfast,Veg,411,12,15,130
Parotta + Mutton Salna,Lunch,Non-Veg,877,52,43,251
Vada + Sambar,Snacks,Veg,360,13,22,97
Fish Biryani,Dinner,Non-Veg,872,56,26,220
Fish Fry + Rice,Lunch,Non-Veg,542,55,17,276
Fresh Fruit Juice,Breakfast,Veg,150,3,0,46
Margherita Pizza,Fast Food,Veg,648,23,29,240
Aappam + Veg Stew,Dinner,Veg,363,10,8,152
Masala Vada Pav,Fast Food,Veg,375,7,21,106
Aloo Bonda,Snacks,Veg,308,5,13,48
Paneer Roll,Fast Food,Veg,444,22,22,149
Fresh Fruit Juice,Breakfast,Veg,112,3,0,48
Idiyappam + Kurma,Dinner,Veg,360,11,7,132
Bonda + Chutney,Snacks,Veg,319,5,17,43
Fish Fry + Rice,Lunch,Non-Veg,592,37,16,212
Kara Pongal + Chutney,Breakfast,Veg,352,15,13,98
Tomato Rice,Lunch,Veg,369,12,16,110
Kottu Parotta (Mutton),Lunch,Non-Veg,901,59,35,320
Fish and Chips,Fast Food,Non-Veg,585,29,29,479
Fish Bajji,Snacks,Non-Veg,412,23,19,118
Chicken Biryani,Dinner,Non-Veg,893,38,20,181
Chicken Burger,Fast Food,Non-Veg,530,37,28,245
Tomato Rice,Lunch,Veg,333,7,10,69
Rava Dosai,Breakfast,Veg,330,9,11,70
Kadalai Mittai (Peanut Chikki),Snacks,Veg,200,8,12,31
Samosa,Snacks,Veg,316,7,17,32
Bread + Omelette,Breakfast,Veg,395,13,11,78
Meals (Full Thali),Lunch,Veg,889,21,16,186
Parotta + Veg Salna,Dinner,Veg,497,15,35,139
Jigarthanda,Snacks,Veg,381,7,9,140
Fish Biryani,Lunch,Non-Veg,771,58,32,252
Vada + Sambar,Snacks,Veg,370,12,13,54
Idiyappam + Coconut Milk,Breakfast,Veg,353,7,6,118
Paal Pongal,Breakfast,Veg,459,13,13,64
Idly (2 pcs) + Sambar + Chutney,Breakfast,Veg,276,12,7,53
Bajji (Onion/Plantain),Snacks,Veg,207,8,22,30
Kozhukattai,Snacks,Veg,209,5,3,69
Aappam + Veg Stew,Dinner,Veg,351,8,9,126
Paneer Tikka Pizza,Fast Food,Veg,967,33,39,520
Chicken Fried Rice,Fast Food,Non-Veg,621,36,16,304
Fresh Fruit Juice,Breakfast,Veg,119,2,0,76
Parotta + Chicken Salna,Dinner,Non-Veg,784,36,31,137
Nannari Sherbet,Breakfast,Veg,93,1,0,63
