Food,MealType,DietType,Calories,Protein,Fat,Price
Poha,Breakfast,Veg,205,13,9,57
Chicken Burger,Lunch,Non-Veg,756,28,24,114
Chicken Tikka,Dinner,Non-Veg,366,42,33,325
Masala Dosa,Breakfast,Veg,364,21,20,176
Rice Bowl,Dinner,Veg,589,12,10,206
Paneer Butter Masala,Dinner,Veg,367,10,20,34
Palak Paneer,Dinner,Veg,387,6,9,215
Palak Paneer,Dinner,Veg,415,19,18,226
Dal Makhani,Dinner,Veg,250,21,6,240
Baingan Bharta,Lunch,Veg,595,21,11,107
Pancake,Breakfast,Veg,500,25,14,245
Vegetable Cutlet,Breakfast,Veg,164,23,10,163
Paneer Butter Masala,Lunch,Veg,396,18,8,247
Fruit Bowl,Breakfast,Veg,430,17,6,182
Masala Dosa,Breakfast,Veg,245,17,10,74
Soup,Lunch,Veg,410,19,15,54
Aloo Gobi,Dinner,Veg,284,15,10,112
Chicken Pizza,Lunch,Non-Veg,742,39,12,436
Pancake,Breakfast,Veg,499,12,9,210
Mutton Rogan Josh,Dinner,Non-Veg,345,30,14,329
Paneer Tikka,Lunch,Veg,152,6,12,114
Dal Makhani,Dinner,Veg,530,21,17,224
Fish Curry,Lunch,Non-Veg,632,30,12,277
Omelette,Breakfast,Non-Veg,564,36,10,172
Pancake,Breakfast,Veg,208,20,6,197
Kadai Paneer,Dinner,Veg,517,6,8,207
Soup,Dinner,Veg,168,10,8,80
Veg Pizza,Lunch,Veg,204,18,10,244
Pasta,Lunch,Veg,312,6,18,69
Appam,Breakfast,Veg,161,16,18,233
Shahi Paneer,Lunch,Veg,151,18,15,134
Vegetable Cutlet,Breakfast,Veg,545,15,11,31
Seekh Kabab,Dinner,Non-Veg,794,32,32,175
Paratha,Breakfast,Veg,350,19,17,59
Chicken Pizza,Lunch,Non-Veg,447,26,23,128
Aloo Gobi,Lunch,Veg,318,13,16,78
Omelette,Breakfast,Non-Veg,763,28,10,168
Mutton Rogan Josh,Dinner,Non-Veg,639,23,17,356
Butter Chicken,Lunch,Non-Veg,517,23,21,182
Mutton Biryani,Dinner,Non-Veg,603,19,16,303
Poha,Breakfast,Veg,504,12,18,138
Bhindi Fry,Dinner,Veg,413,12,9,96
Poha,Breakfast,Veg,345,7,14,109
Soup,Dinner,Veg,503,6,20,77
Vegetable Cutlet,Breakfast,Veg,187,22,14,66
Dal Makhani,Dinner,Veg,556,6,18,140
Soup,Lunch,Veg,244,22,7,146
Thepla,Breakfast,Veg,212,9,12,62
Chicken Curry,Dinner,Non-Veg,414,38,27,345
Smoothie,Breakfast,Veg,454,6,12,58
Upma,Breakfast,Veg,479,11,12,100
Paneer Tikka,Lunch,Veg,190,22,5,184
Paneer Butter Masala,Dinner,Veg,447,24,12,180
Fish Curry,Lunch,Non-Veg,763,22,34,396
Baingan Bharta,Lunch,Veg,305,17,18,51
Smoothie,Breakfast,Veg,294,11,16,143
Omelette,Breakfast,Non-Veg,575,34,34,406
Chicken Biryani,Lunch,Non-Veg,476,18,24,203
Pongal,Breakfast,Veg,544,22,13,41
Appam,Breakfast,Veg,267,21,16,41
Veg Pizza,Lunch,Veg,305,23,18,51
Fish Curry,Lunch,Non-Veg,521,42,18,141
Kadai Paneer,Lunch,Veg,590,12,11,125
Paneer Butter Masala,Dinner,Veg,374,13,14,115
Grilled Fish,Dinner,Non-Veg,514,33,22,433
Mix Veg,Lunch,Veg,597,16,16,130
Masala Dosa,Breakfast,Veg,441,17,17,159
Thepla,Breakfast,Veg,265,15,6,174
Egg Curry,Lunch,Non-Veg,798,28,35,108
Chicken Biryani,Lunch,Non-Veg,338,39,30,351
Chicken Burger,Dinner,Non-Veg,724,39,32,401
Thepla,Breakfast,Veg,183,20,11,237
