Food,MealType,DietType,Calories,Protein,Fat,Price
Pancake,Lunch,Veg,135,29,19,75
Chicken Pizza,Dinner,Non-Veg,528,24,8,88
Dal,Lunch,Veg,265,26,17,270
Soup,Breakfast,Veg,656,18,6,291
Dal,Breakfast,Veg,555,30,25,52
Idli,Dinner,Veg,474,11,12,131
Dal,Dinner,Veg,685,5,28,108
Paneer Tikka,Dinner,Veg,399,5,13,234
Smoothie,Breakfast,Veg,392,15,7,212
Smoothie,Dinner,Veg,588,7,18,248
Rice Bowl,Breakfast,Veg,386,12,28,108
Veg Pizza,Dinner,Veg,507,22,22,227
Chicken Curry,Dinner,Non-Veg,331,11,30,179
Dal,Lunch,Veg,657,6,3,102
Idli,Lunch,Veg,603,7,12,221
Dosa,Dinner,Veg,611,22,30,283
Smoothie,Breakfast,Veg,181,10,25,190
Smoothie,Lunch,Veg,147,7,10,206
Veg Pizza,Lunch,Veg,469,11,20,290
Pancake,Lunch,Veg,381,30,27,20
Dal,Breakfast,Veg,422,35,13,202
Grilled Fish,Dinner,Non-Veg,641,18,7,275
Chicken Pizza,Dinner,Non-Veg,434,7,22,214
Rice Bowl,Breakfast,Veg,400,6,6,190
Omelette,Breakfast,Non-Veg,287,21,26,186
Soup,Dinner,Veg,330,9,28,274
Chicken Burger,Breakfast,Non-Veg,147,31,12,35
Grilled Fish,Dinner,Non-Veg,571,17,2,37
Smoothie,Lunch,Veg,601,25,24,222
Chicken Pizza,Dinner,Non-Veg,136,15,17,72
Idli,Dinner,Veg,190,30,7,87
Grilled Fish,Breakfast,Non-Veg,491,35,9,25
Veg Pizza,Dinner,Veg,568,15,28,193
Chole,Breakfast,Veg,407,19,23,23
Rice Bowl,Breakfast,Veg,362,7,28,176
Veg Sandwich,Breakfast,Veg,299,14,28,39
Smoothie,Breakfast,Veg,643,25,18,207
Omelette,Lunch,Non-Veg,399,5,16,268
Dal,Dinner,Veg,418,4,18,101
Pancake,Dinner,Veg,251,33,5,129
Chicken Burger,Lunch,Non-Veg,654,15,29,109
Salad,Lunch,Veg,208,19,12,126
Veg Pizza,Dinner,Veg,209,14,12,41
Chicken Curry,Dinner,Non-Veg,167,25,20,271
Chicken Burger,Dinner,Non-Veg,570,15,2,223
Soup,Breakfast,Veg,414,22,21,32
Smoothie,Breakfast,Veg,222,34,22,218
Pancake,Breakfast,Veg,254,13,16,196
Chole,Lunch,Veg,121,18,24,201
Veg Pizza,Lunch,Veg,278,7,6,261
Rice Bowl,Dinner,Veg,608,24,25,73
Grilled Fish,Breakfast,Non-Veg,106,33,29,219
Chicken Pizza,Breakfast,Non-Veg,138,14,12,63
